accepted_name,max_ma,min_ma,ref_author,ref_pubyr,phylum,class,order,family,genus,abund_value,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,formation,stratcomments,environment,collectors,taxonomy_comments,primary_reference
Paciphacops logani,416,412.3,Dunbar,1919,Arthropoda,Trilobita,Phacopida,Phacopidae,Paciphacops,,-88.000000,36.000000,"""Rare""","""Trilobite zone"", sec. 1A, Big Sandy River",,,US,Ross,"Sampled zone only 3.5 feet thick, but bluff 160 yards long (approx. 14-17.5 feet from top of formation, of which 22.5 feet are exposed).",offshore shelf,,,
Paciphacops logani,416,412.3,Dunbar,1919,Arthropoda,Trilobita,Phacopida,Phacopidae,Paciphacops,,-88.000000,36.000000,"""Common""","""Trilobite zone"", Ross Formation, sec. 1A",,,US,Ross,"Sampled zone only 2.5 feet thick, but bluff 160 yards long (approx. 9-11.5 feet from top of formation, of which 22.5 feet are exposed). Listed as Gedinnian",offshore shelf,,,
Acaste downingiae,423,391.9,Berry and Boucot,1973,Arthropoda,Trilobita,Phacopida,Acastidae,Acaste,,-7.500000,27.500000,,Shale on South Flank of Tindouf Basin (Pridoli/Gedinne Part),,,DZ,,"""The brachiopod, trilobite, and graptolite fauna of this sandstone-shale part of the stratigrahpic column indicates that it is of Pridoli to Gedinne age and supports Gevin's (1960, p. 98) suggestion that the Silurian age deposits are continuous with those of Early Devonian age. He records Siegen and Emsian age sandstones stratigraphically above the probable Gedinne age beds. A conglomerate layer or an interval of conglomeratic sandstone occurs at the base of the Siegen age beds as well as in the interval of the Gedinne age beds.""",transition zone/lower shoreface,,,W. B. N. Berry and A. J. Boucot. 1973. Correlation of the African Silurian rocks. Geological Society of America Special Paper 147:1-83
Oinochoe coccymelum,423,410.8,Campbell,1977,Arthropoda,Trilobita,Lichida,Lichidae,Oinochoe,,-96.500000,34.400002,,"Edriocrinus-Pygmaeocrinus Association, Bois d'Arc",,,US,,"""Lower Devonian (Gedinnian). Lower Haragan Formation and Cravatt Member, Bois d'Arc Formation.""",deep subtidal ramp,,,"K. S. W. Campbell. 1977. Trilobites of the Haragan, Bois d'Arc and Frisco Formations (Early Devonian) Arbuckle Mountains region, Oklahoma. Oklahoma Geological Survey Bulletin 123:1-227"
Brachymetopus germanicus,364.7,360.7,Yuan and Xiang,1998,Arthropoda,Trilobita,Proetida,Brachymetopidae,Brachymetopus,,111.045021,26.201868,Brachymetopus (Brachymetopus) germanicus minusculus,ADZ29. Xiakou Section S,,,CN,Yonghsien,,carbonate indet.,,,J. Yuan and L.-W. Xiang. 1998. Trilobite fauna at the Devonian-Carboniferous boundary in South China (S-Guizhou and N-Guangxi). 8:1-281
Dianops quizhouensis,364.7,360.7,Wagner,2020,Arthropoda,Trilobita,Phacopida,Phacopidae,Dianops,6,106.366669,25.733334,sp. nov.,"Top of upper member, 1.5 km east of Daihua",,,CN,Daihua,The upper member is 35.4 m thick.,basinal (carbonate),,"""...abundant ammonoids and numerous trilobites are concentrated at the top [of the member].""",P. Wagner. 2020. Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized.
Omegops accipitrinus,364.7,360.7,Denayer et al.,2019,Arthropoda,Trilobita,Phacopida,Phacopidae,Omegops,,4.833056,50.324444,,Spontin and Chansin Railway Sections,,,FR,Comblain-au-Pont,,carbonate indet.,,,"J. Denayer, C. Prestianni, and B. Mottequin, E. Poty. 2019. The Uppermost Devonian and Lower Carboniferous in the type area of\r\nSouthern Belgium. KÃ¶lner Forum fÃ¼r Geologie und PalÃ¤ontologie 24:5-41"
Omegops cornelius,364.7,360.7,Weber,2000,Arthropoda,Trilobita,Phacopida,Phacopidae,Omegops,,6.183333,50.733334,Bed 50,KornelimÃ¼nster,,Reef 2188,DE,Etroeungt,Strunian,"reef, buildup or bioherm",,,"H. M. Weber. 2000. Neufund von Omegops cornelius Richter & Richter 1933 (Arthropoda, Trilobita) aus dem hÃ¶chsten Oberdevon (â€žStrunium â€œ) von KornelimÃ¼nster bei Aachen, Deutschland. Senckenbergiana lethaea 79(2):541-546"
Omegops cornelius,364.7,360.7,Feist et al.,2003,Arthropoda,Trilobita,Phacopida,Phacopidae,Omegops,,57.099998,33.666668,,"Cephalopod Bed, Hill IV. Northwest of Niaz, Kale Sardar",,,IR,Shishtu,"""Cephalopod beds of StÃ´cklin et a|.,1965",,,,
Omegops maretiolensis,364.7,360.7,Wagner,2020,Arthropoda,Trilobita,Phacopida,Phacopidae,Omegops,,4.766667,50.299999,Phacops (Phacops) accipitrinus maretiolensis,Maredsous (Bioul 525),,,BE,Etroeungt,Latest Famennian,marine indet.,,,P. Wagner. 2020. Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized.
